"chain","project","symbol","tvlUsd","apyBase","apyReward","apy","rewardTokens","pool","apyPct1D","apyPct7D","apyPct30D","stablecoin","ilRisk","exposure","predictions","poolMeta","mu","sigma","count","outlier","underlyingTokens","il7d","apyBase7d","apyMean30d","volumeUsd1d","volumeUsd7d","apyBaseInception"
"Aptos","liquidswap","AMAPT-APT",15501,,,2294.13916,,"6bd5141c-c70b-4518-bba3-35886f428cc4",-0.05442,4.91846,104.75424,false,"yes","multi","{""predictedClass"":""Down"",""predictedProbability"":97,""binnedConfidence"":3}",,884.77831,5.12851,257,true,,,,2236.33315,,,
"Aptos","liquidswap","ZUSDC-APT",14083,,,1608.35517,,"364793e1-3bf7-4a60-89a5-6661f0340212",-38.27518,-93.08365,81.53438,false,"yes","multi","{""predictedClass"":""Down"",""predictedProbability"":99,""binnedConfidence"":3}",,1042.42249,4.87545,257,true,,,,1617.43048,,,
"Aptos","liquidswap","APT-STAPT",23525,,,1511.87815,,"94bc5550-4072-4132-9789-4c5a6d7c6afc",-1.56882,-7.26341,-18.29346,false,"yes","multi","{""predictedClass"":""Down"",""predictedProbability"":100,""binnedConfidence"":3}",,841.7887,4.20566,257,true,,,,1517.01004,,,
"Aptos","liquidswap","ZUSDC-ZUSDT",36522,,,619.71284,,"0a330a26-55d6-4c8a-972a-e5736217ba84",-29.43807,-70.69914,-17.86866,true,"no","multi","{""predictedClass"":""Down"",""predictedProbability"":97,""binnedConfidence"":3}",,550.34434,3.18086,257,true,,,,632.97636,,,
"Aptos","merkle-trade","ZUSDC",775426,511.11848,,511.11848,,"bf8e6be3-3457-4c42-9670-09decf845af6",-4.34664,511.11848,511.11848,true,"no","single","{""predictedClass"":""Down"",""predictedProbability"":99,""binnedConfidence"":3}",,24.53357,1.71539,380,false,,,,40.1983,,,
"Aptos","liquidswap","ZWETH-APT",23067,,,86.73493,,"cdf0b54b-541f-4266-8982-01688bed5e6c",-0.88767,-2.74059,10.36372,false,"yes","multi","{""predictedClass"":""Down"",""predictedProbability"":93,""binnedConfidence"":3}",,59.72934,0.97921,257,false,,,,80.82535,,,
"Aptos","animeswap","ANI",12182,,41.46999,41.46999,"[""0x16fe2df00ea7dde4a63409201f7f4e536bde7bb7335526a35d05111e68aa322c::AnimeCoin::ANI""]","05fa6198-0451-4d7b-bb7d-cef5ae93097e",,0.03294,-3.51749,false,"no","single","{""predictedClass"":""Down"",""predictedProbability"":62,""binnedConfidence"":2}","Stake ANI",51.32673,0.2789,625,false,,,,43.68042,,,
"Aptos","thalaswap-v2","APT-USDC",7118403,6.62185,34.5441,41.16595,"[""0xfaf4e633ae9eb31366c9ca24214231760926576c7b625313b3688b5e900731f6::staking::ThalaAPT""]","4ca3e7ae-fd95-443c-bb49-72e1486aa0a5",-1.31438,,,false,"yes","multi","{""predictedClass"":null,""predictedProbability"":null,""binnedConfidence"":null}",,42.75773,0.08308,2,false,"[""0xa"",""0xbae207659db88bea0cbead6da0ed00aac12edcdda169e591cd41c94180b46f3b""]",,,42.83555,,,
"Aptos","liquidswap","AMAPT-APT",596144,,,38.18241,,"2c99305c-a66c-451a-abeb-3d3287e4f942",0.07408,0.16314,0.20169,false,"yes","multi","{""predictedClass"":""Down"",""predictedProbability"":84,""binnedConfidence"":3}",,34.60916,0.27991,257,false,,,,38.07166,,,
"Aptos","thalaswap-v2","APT-USDT",4760664,6.71348,31.2065,37.91998,"[""0xfaf4e633ae9eb31366c9ca24214231760926576c7b625313b3688b5e900731f6::staking::ThalaAPT""]","9324ad87-9f6e-4be9-84c0-ab5ae623ba4a",0.03009,,,false,"yes","multi","{""predictedClass"":null,""predictedProbability"":null,""binnedConfidence"":null}",,38.88797,0.05182,2,false,"[""0xa"",""0x357b0b74bc833e95a115ad22604854d6b0fca151cecd94111770e5d6ffc9dc2b""]",,,38.54806,,,
"Aptos","cellana-finance","CELL-APT",662926,0,24.20141,24.20141,"[""0x2ebb2ccac5e027a87fa0e2e5f656a3a4238d6a48d93ec9b610d570fc0aa0df12""]","6aeaa441-3602-46a2-8f8a-083ebe276f76",0.10339,1.93765,0.90397,false,"yes","multi","{""predictedClass"":""Stable/Up"",""predictedProbability"":73,""binnedConfidence"":2}",,55.32736,1.20296,366,false,,,,23.85847,,,
